;index;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
17710;25299;Apartamento;Jardim Botânico;3;1;0;84;3000.0;650.0;151.0
17711;25300;Apartamento;Lagoa;4;0;1;255;10000.0;2500.0;397.0
17712;25304;Casa de Condomínio;Cachambi;2;1;0;90;1100.0;280.0;
17713;25306;Apartamento;Copacabana;3;1;1;100;8000.0;1050.0;320.0
17714;25307;Apartamento;Copacabana;2;0;0;80;2700.0;600.0;
17715;25308;Apartamento;Flamengo;3;1;0;96;3300.0;912.0;210.0
17716;25309;Casa;Vila da Penha;2;0;0;36;700.0;;
17717;25310;Apartamento;Barra da Tijuca;4;2;3;170;10000.0;3089.0;750.0
17718;25313;Apartamento;Leblon;3;1;1;115;7000.0;1900.0;450.0
17719;25314;Apartamento;Barra da Tijuca;3;1;1;72;2200.0;660.0;110.0
17720;25315;Apartamento;Recreio dos Bandeirantes;3;2;1;114;2200.0;570.0;230.0
17721;25316;Apartamento;Cascadura;2;1;0;62;1000.0;516.0;
17722;25318;Apartamento;Flamengo;1;0;0;47;2100.0;515.0;420.0
17723;25319;Apartamento;Tijuca;2;1;0;76;1800.0;849.0;105.0
17724;25320;Apartamento;Copacabana;4;2;2;345;22000.0;;
17725;25322;Apartamento;Pechincha;2;1;0;50;1000.0;482.0;13.0
17726;25323;Apartamento;Ipanema;3;1;1;140;9000.0;1800.0;300.0
17727;25324;Quitinete;Copacabana;1;0;0;40;2200.0;550.0;250.0
17728;25325;Apartamento;Ipanema;3;1;1;140;7200.0;2900.0;800.0
17729;25327;Apartamento;Copacabana;3;1;0;165;5000.0;1280.0;280.0
17730;25328;Apartamento;Tijuca;3;0;1;111;2300.0;720.0;
17731;25329;Apartamento;Barra da Tijuca;3;2;2;170;6000.0;2000.0;510.0
17732;25331;Casa;Jardim Botânico;4;4;4;451;20000.0;;
17733;25333;Apartamento;Ipanema;3;0;1;130;2500.0;1131.0;
17734;25336;Apartamento;Ipanema;3;1;2;164;7590.0;2000.0;300.0
17735;25338;Apartamento;Laranjeiras;3;1;0;120;3000.0;1180.0;130.0
17736;25339;Apartamento;São Conrado;3;3;3;230;11000.0;2300.0;
17737;25340;Apartamento;Copacabana;3;0;1;92;3500.0;1200.0;
17738;25344;Apartamento;Todos os Santos;2;1;0;70;1300.0;600.0;12.0
17739;25349;Apartamento;Laranjeiras;2;0;0;70;2000.0;530.0;
17740;25350;Apartamento;Barra da Tijuca;4;3;1;452;15000.0;4571.0;2319.0
17741;25353;Apartamento;Méier;2;1;0;85;1100.0;180.0;79.0
17742;25354;Apartamento;Recreio dos Bandeirantes;3;0;1;336;3300.0;800.0;300.0
17743;25355;Quitinete;Botafogo;1;0;0;25;1200.0;559.0;54.0
17744;25356;Apartamento;Barra da Tijuca;1;1;0;60;1500.0;1800.0;320.0
17745;25357;Apartamento;Tijuca;3;1;1;115;1900.0;783.0;104.0
17746;25358;Quitinete;Anil;1;0;0;20;300.0;18.0;8.0
17747;25359;Apartamento;Barra da Tijuca;3;2;1;95;3200.0;1460.0;249.0
17748;25360;Apartamento;Flamengo;2;1;0;62;2400.0;896.0;96.0
17749;25362;Apartamento;Recreio dos Bandeirantes;3;1;1;97;2380.0;800.0;185.0
17750;25363;Apartamento;Copacabana;3;1;0;160;4500.0;1300.0;1700.0
17751;25364;Apartamento;Leblon;3;1;1;110;5000.0;1100.0;
17752;25365;Apartamento;Flamengo;3;1;1;165;8500.0;1377.0;3000.0
17753;25366;Apartamento;Barra da Tijuca;4;3;0;160;4000.0;1265.0;459.0
17754;25368;Apartamento;Barra da Tijuca;3;2;1;105;2900.0;1803.0;245.0
